generation,best,avg
1,1116.578560259857,1498.9558486602155
2,1053.243416504307,1451.3359483864315
3,1053.243416504307,1429.060700443927
4,1031.2494096946564,1394.9229128752954
5,1000.9567732001475,1393.4641043091553
6,1000.9567732001475,1374.465582086843
7,1000.9567732001475,1380.9423785603074
8,1000.9567732001475,1380.6320914322098
9,1000.9567732001475,1335.0895349370612
10,1000.9567732001475,1349.48945482826
11,1000.9567732001475,1365.3990813421735
12,1000.9567732001475,1357.3237506665816
13,1000.9567732001475,1369.4108604331873
14,1000.9567732001475,1382.1050684533338
15,1000.9567732001475,1357.041408389715
16,1000.9567732001475,1365.7218345505235
17,1000.9567732001475,1357.3428660680715
18,1000.9567732001475,1335.378328674098
19,947.5832885066092,1325.2953867012327
20,947.5832885066092,1308.972785503462
21,947.5832885066092,1318.3575568903136
22,947.5832885066092,1316.7141210162395
23,947.5832885066092,1319.6195406628137
24,947.5832885066092,1312.7100127855604
25,927.2279710183886,1313.3825943926213
26,927.2279710183886,1338.6883052758217
27,927.2279710183886,1340.1836793728723
28,927.2279710183886,1383.31868393645
29,927.2279710183886,1351.754778352562
30,927.2279710183886,1363.6314519656305
31,927.2279710183886,1374.5340768636947
32,927.2279710183886,1363.9903794667584
33,895.8662386246507,1361.7913153206928
34,895.8662386246507,1328.8147029122824
35,895.8662386246507,1331.0566129647987
36,895.8662386246507,1328.7401242525154
37,895.8662386246507,1325.8877517522776
38,895.8662386246507,1335.0919332278738
39,895.8662386246507,1320.410678143197
40,895.8662386246507,1329.885495457743
41,895.8662386246507,1291.2110086032772
42,895.8662386246507,1303.6759351023757
43,895.8662386246507,1310.341481224902
44,895.8662386246507,1286.1361397521648
45,895.2712749512964,1332.9870781503828
46,895.2712749512964,1313.9232430630018
47,895.2712749512964,1325.1773895182444
48,895.2712749512964,1337.1086176398726
49,895.2712749512964,1328.5075263350354
50,895.2712749512964,1338.485001378225
51,881.224887878795,1324.9799264330036
52,881.224887878795,1324.9427354931374
53,881.224887878795,1332.2136621778152
54,881.224887878795,1321.0308277328993
55,881.224887878795,1318.9974365830824
56,881.224887878795,1343.2413310058996
57,881.224887878795,1310.5400277135764
58,881.224887878795,1306.0113918267828
59,881.224887878795,1318.8552930097044
60,881.224887878795,1336.3058243794862
61,881.224887878795,1314.0044302000856
62,881.224887878795,1286.5498107813762
63,879.9349858338754,1290.0801069182771
64,872.0257217479287,1300.3805926080781
65,872.0257217479287,1292.62645291987
66,872.0257217479287,1272.1362141598295
67,872.0257217479287,1255.8093607010198
68,872.0257217479287,1266.5148031388956
69,872.0257217479287,1276.8363197232584
70,872.0257217479287,1264.055519804262
71,872.0257217479287,1257.4022894695372
72,872.0257217479287,1245.856561145563
73,872.0257217479287,1238.2376814837057
74,872.0257217479287,1221.0448038966238
75,869.6553101131226,1214.5530639199842
76,795.4027291436863,1227.8397039474128
77,795.4027291436863,1228.2935774345224
78,795.4027291436863,1235.699406228417
79,795.4027291436863,1253.3895504293473
80,795.4027291436863,1287.7673580576886
81,795.4027291436863,1245.0644243050663
82,795.4027291436863,1242.0187835660442
83,795.4027291436863,1240.8382748137656
84,795.4027291436863,1238.0625524091543
85,795.4027291436863,1246.4987165965945
86,795.4027291436863,1240.865661915025
87,795.4027291436863,1225.8446503613811
88,795.4027291436863,1217.4870325890392
89,795.4027291436863,1185.7176638482713
90,782.7923951029702,1151.3690346645933
91,782.7923951029702,1192.218220762839
92,782.7923951029702,1182.5999912145403
93,782.7923951029702,1145.1909438820176
94,755.4027291436863,1144.0105308052487
95,755.4027291436863,1179.7699427580562
96,755.4027291436863,1150.07903379537
97,755.4027291436863,1150.7097726674108
98,755.4027291436863,1135.836042502174
99,755.4027291436863,1163.1781819287903
100,755.4027291436863,1132.1075916681411
101,755.4027291436863,1134.2489046144706
102,755.4027291436863,1180.1001025218548
103,755.4027291436863,1157.7627620190426
104,755.4027291436863,1193.7009466775617
105,755.4027291436863,1189.2548207170582
106,755.4027291436863,1182.9498620919105
107,755.4027291436863,1196.6079824126023
108,755.4027291436863,1223.9043751211807
109,755.4027291436863,1221.8747619772466
110,755.4027291436863,1198.5833983817329
111,755.4027291436863,1184.6113016515842
112,755.4027291436863,1179.3464573183983
113,755.4027291436863,1175.8164366866406
114,755.4027291436863,1143.429786692029
115,755.4027291436863,1167.7956290296202
116,755.4027291436863,1160.2570752200559
117,755.4027291436863,1176.2103444623658
118,755.4027291436863,1208.5908468316902
119,755.4027291436863,1239.919957935046
120,755.4027291436863,1248.8902878532028
121,755.4027291436863,1251.2725094698974
122,755.4027291436863,1237.9709389434547
123,755.4027291436863,1238.7739956619246
124,755.4027291436863,1221.8592780582521
125,755.4027291436863,1215.1502475695747
126,755.4027291436863,1219.0343194458787
127,755.4027291436863,1238.310296387433
128,755.4027291436863,1252.3220451936895
129,755.4027291436863,1244.042231078249
130,755.4027291436863,1237.3624550116174
131,755.4027291436863,1257.8117030279222
132,755.4027291436863,1243.9808563735385
133,755.4027291436863,1226.4124341630181
134,755.4027291436863,1220.4623801501868
135,755.4027291436863,1247.258100465468
