generation,best,avg
1,1185.368177525347,1468.8574968457149
2,1137.4450874155757,1426.310195622078
3,1078.8172950186495,1380.723331387658
4,1015.873256421124,1357.5975763035945
5,1015.873256421124,1321.6911892008086
6,1015.873256421124,1319.85773743284
7,971.4157394354801,1298.8237999125338
8,943.833151378014,1278.690327109552
9,909.4719779009176,1254.2146375557927
10,905.3390556704015,1249.2485324337194
11,905.3390556704015,1219.7645968018808
12,847.0320324124685,1204.996533286159
13,847.0320324124685,1184.6936397205832
14,834.6326511791078,1153.7739150441903
15,802.07973985213,1118.5932501906493
16,789.4694058114139,1068.5024964398078
17,738.8341866487624,1028.0043200648274
18,738.8341866487624,1017.2466487206406
19,738.8341866487624,960.5157085577862
20,738.8341866487624,900.6377194768273
21,738.8341866487624,852.5684620999959
22,738.8341866487624,826.542126687524
23,738.8341866487624,794.928715420769
24,738.8341866487624,802.076698619389
25,738.8341866487624,807.0070041132494
26,738.8341866487624,791.5734060487855
27,738.8341866487624,805.3810370204135
28,738.8341866487624,814.4846902280764
29,738.8341866487624,797.6632972172399
30,738.8341866487624,790.429712171953
31,738.8341866487624,794.6041688889658
32,738.8341866487624,794.6387086615231
33,738.8341866487624,802.6992031420979
34,738.8341866487624,790.9859972525613
35,738.8341866487624,779.2752501652411
36,738.8341866487624,801.4919131822405
37,738.8341866487624,809.9024389819656
38,738.8341866487624,797.734106452285
39,738.8341866487624,807.5780320174001
40,738.8341866487624,789.7845478646262
41,738.8341866487624,793.8601035417236
42,738.8341866487624,784.6567943237288
43,738.8341866487624,793.1596188411254
44,738.8341866487624,796.3722934705465
45,738.8341866487624,801.9738424316923
46,738.8341866487624,791.6207982485566
47,738.8341866487624,797.0960555221027
48,738.8341866487624,788.3739128051741
49,738.8341866487624,801.1078725489896
50,738.8341866487624,799.1569506029452
51,738.8341866487624,804.3874949740706
52,738.8341866487624,791.0954060853295
53,738.8341866487624,796.4373928319264
54,738.8341866487624,800.0020884376598
55,738.8341866487624,795.4922467101944
56,738.8341866487624,786.2964815310006
57,738.8341866487624,792.4002623123637
58,738.8341866487624,787.5463556972603
59,738.8341866487624,796.4850341554665
60,738.8341866487624,778.140872858349
61,738.8341866487624,788.358623296119
62,738.8341866487624,787.2454434721025
63,738.8341866487624,788.2453195363133
64,738.8341866487624,812.8671819236172
65,738.8341866487624,789.7144963381382
66,738.8341866487624,797.0880423809774
67,738.8341866487624,801.8847497033424
68,738.8341866487624,793.9279905056054
69,738.8341866487624,797.3502814964136
70,738.8341866487624,793.1191754997448
71,738.8341866487624,785.781709974209
72,738.8341866487624,804.5103896312029
73,738.8341866487624,798.6836099505401
74,738.8341866487624,804.2150860051145
75,738.8341866487624,797.6397556736074
76,738.8341866487624,798.2346994490094
77,738.8341866487624,797.0880793791334
78,738.8341866487624,802.6407323769183
79,738.8341866487624,793.7908646125422
80,738.8341866487624,798.8011446094893
81,738.8341866487624,791.3466355136093
82,738.8341866487624,805.330273614116
83,738.8341866487624,804.0500395338431
84,738.8341866487624,793.4574169919681
85,738.8341866487624,791.3810042438639
86,738.8341866487624,802.1278364999629
87,738.8341866487624,793.9481977803359
88,738.8341866487624,794.9469825811997
89,738.8341866487624,807.8948725429495
90,738.8341866487624,789.5001890815328
91,738.8341866487624,783.7040191125477
92,738.8341866487624,792.8558883817304
93,738.8341866487624,807.6851737803262
94,738.8341866487624,806.3938689213063
95,737.5442846038428,797.3019299469111
96,737.5442846038428,799.6314279445528
97,737.5442846038428,803.0749036804303
98,737.5442846038428,806.4538294949706
99,737.5442846038428,811.5752292420964
100,737.5442846038428,820.6716514910742
101,737.5442846038428,811.6383046399866
102,737.5442846038428,805.3550256041964
103,737.5442846038428,803.820571081272
104,737.5442846038428,803.5191048715325
105,737.5442846038428,792.503271894672
106,737.5442846038428,793.2886570264997
107,737.5442846038428,804.3292646316335
108,737.5442846038428,795.277384363293
109,737.5442846038428,797.2223044124225
110,737.5442846038428,799.9902735679195
111,737.5442846038428,798.374123606452
112,737.5442846038428,794.8115388767989
113,737.5442846038428,783.8798269864425
114,737.5442846038428,806.9894281100344
115,737.5442846038428,785.2966243617017
116,737.5442846038428,793.190622842178
117,737.5442846038428,796.6372858822366
118,737.5442846038428,811.7836296011473
119,737.5442846038428,809.5963946433912
120,737.5442846038428,789.8447824958037
121,737.5442846038428,795.5235671912146
122,737.5442846038428,798.4864378157222
123,737.5442846038428,799.2076640828172
124,737.5442846038428,798.5276305443454
125,737.5442846038428,785.1873274868198
126,737.5442846038428,794.495044245395
127,737.5442846038428,797.9265768497353
128,737.5442846038428,806.1994819634236
129,737.5442846038428,782.9916238276248
130,737.5442846038428,791.8726980204152
131,737.5442846038428,771.7170283156947
132,737.5442846038428,805.4647281264247
133,737.5442846038428,795.6449249139638
134,737.5442846038428,789.1287096945385
135,737.5442846038428,804.3380543534867
136,737.5442846038428,802.4573317503888
137,737.5442846038428,788.8135865182217
138,737.5442846038428,791.2761924792876
139,737.5442846038428,798.032964744817
140,737.5442846038428,772.7179680817767
141,737.5442846038428,806.1193762491498
142,737.5442846038428,784.0210773623857
143,737.5442846038428,784.8214874026448
144,737.5442846038428,804.0423628924723
145,737.5442846038428,800.8619358826207
146,737.5442846038428,800.7814545396162
147,737.5442846038428,791.2819965551018
148,737.5442846038428,794.1819162448554
149,737.5442846038428,810.1826504245869
150,737.5442846038428,809.930638551923
151,737.5442846038428,789.3561768960748
152,737.5442846038428,788.5253734465726
153,737.5442846038428,793.0343217334193
154,737.5442846038428,813.2156607458606
155,737.5442846038428,803.7090060752884
156,737.5442846038428,797.5018695050944
157,737.5442846038428,807.0515629111703
158,737.5442846038428,801.3051126574497
159,737.5442846038428,791.7806749171144
160,737.5442846038428,795.3196138535224
161,737.5442846038428,790.7716913396414
162,737.5442846038428,799.5352774666214
163,737.5442846038428,784.7274415259576
164,737.5442846038428,798.4404027188568
165,737.5442846038428,803.4162334093559
166,737.5442846038428,812.6332303589932
167,737.5442846038428,796.3079608130511
168,737.5442846038428,806.6658743549654
169,737.5442846038428,790.6708753089647
170,737.5442846038428,797.5022441847748
171,737.5442846038428,796.5398653036148
172,737.5442846038428,788.2417231222528
173,737.5442846038428,795.9120800183856
174,737.5442846038428,796.0157105297841
175,737.5442846038428,802.9345060178905
176,737.5442846038428,805.951421487394
177,737.5442846038428,786.2785316247761
178,737.5442846038428,801.7567859456523
179,737.5442846038428,796.8390869323384
180,737.5442846038428,785.1399250608233
181,737.5442846038428,796.4693579186536
182,737.5442846038428,788.4954361740145
183,737.5442846038428,795.8284013115932
184,737.5442846038428,794.3057739342794
185,737.5442846038428,800.6324439224601
186,737.5442846038428,790.0219538197141
187,737.5442846038428,797.5645906566781
188,737.5442846038428,802.5788740198218
189,737.5442846038428,807.8634324831701
190,737.5442846038428,810.8247778572903
191,737.5442846038428,799.9874703431097
192,737.5442846038428,788.5316961888326
193,737.5442846038428,783.4963674043152
194,737.5442846038428,810.3394036195655
195,737.5442846038428,822.3259383874727
196,737.5442846038428,798.5002056242485
197,737.5442846038428,777.906325912151
198,737.5442846038428,784.0824010359074
199,737.5442846038428,797.7659608205157
200,737.5442846038428,807.5292958218113
201,737.5442846038428,801.3380187725453
202,737.5442846038428,797.283891796899
203,737.5442846038428,813.5389983752257
204,737.5442846038428,815.0719474205532
205,737.5442846038428,810.7453217647166
206,737.5442846038428,795.4443161603037
207,737.5442846038428,794.5984098388092
208,737.5442846038428,804.6523498201406
209,737.5442846038428,801.1452168948483
210,737.5442846038428,802.0325851986619
211,737.5442846038428,804.5307569621518
212,737.5442846038428,796.7639744337758
213,737.5442846038428,805.416308809553
214,737.5442846038428,803.1857243393013
215,737.5442846038428,781.6284425960833
216,737.5442846038428,797.2955820491386
217,737.5442846038428,791.1459247502115
218,737.5442846038428,811.0655094231574
219,737.5442846038428,789.1253353775459
220,737.5442846038428,797.2794543473344
221,737.5442846038428,813.6628850892083
222,737.5442846038428,797.1840124734197
223,737.5442846038428,805.4170478874269
224,737.5442846038428,797.5946849986483
225,737.5442846038428,786.3857063736953
226,737.5442846038428,793.4836245191939
227,737.5442846038428,793.2608064296286
228,737.5442846038428,799.6395045288638
229,737.5442846038428,786.5311550594353
230,737.5442846038428,785.787100942687
231,737.5442846038428,780.9670853130451
232,737.5442846038428,779.1609469561789
233,737.5442846038428,796.885652528344
234,737.5442846038428,801.909689861236
235,737.5442846038428,813.3352948857116
236,737.5442846038428,806.0096999282853
237,737.5442846038428,803.5423412587547
238,737.5442846038428,779.7202454823829
239,737.5442846038428,793.4976199596194
240,737.5442846038428,800.3753684324416
241,737.5442846038428,792.3701964782958
242,737.5442846038428,784.521213918613
243,737.5442846038428,793.8025270931328
244,737.5442846038428,797.7736351352927
245,737.5442846038428,804.2900769594339
246,737.5442846038428,805.5028060237478
247,737.5442846038428,783.2282168736594
248,737.5442846038428,796.200678222143
249,737.5442846038428,780.391386574694
250,737.5442846038428,776.4994712281504
251,737.5442846038428,806.03474990902
252,737.5442846038428,802.2677675188758
253,737.5442846038428,797.5619206056595
254,737.5442846038428,797.00579066223
255,737.5442846038428,793.7410738952723
256,737.5442846038428,807.9328431522204
257,737.5442846038428,797.4402113965562
258,737.5442846038428,796.3348680721226
259,737.5442846038428,795.29536166629
260,737.5442846038428,785.9281180884133
261,737.5442846038428,798.749390781364
262,737.5442846038428,809.8772707713102
263,737.5442846038428,804.4003661254648
264,737.5442846038428,803.2877445568529
265,737.5442846038428,805.8305691760715
266,737.5442846038428,782.0163086954338
267,737.5442846038428,790.1547087984823
